,assists,blocks,fg_attempts,fg_made,ft_attempts,ft_made,opponent,player,points,position,rebounds,salary,stats,steals,team,threes,turnovers,date,away,minutes_played,team_points,opponent_points,dk_pt
2285,6,0,10,5,0,0,mil,"Mack, Shelvin",11,PG/SG,1,3800,11pt 1rb 6as 1to 1trey 5-10fg,0,mem,1,1,2019-01-16,False,17.72,101,111,21.25
2286,1,0,9,4,3,3,orl,"Galloway, Langston",13,PG/SG,3,3200,13pt 3rb 1as 1st 2trey 4-9fg 3-3ft,1,det,2,0,2019-01-16,False,20.53,120,115,21.25
2287,6,0,9,3,2,1,por,"Dellavedova, Matthew",8,PG/SG,3,3300,8pt 3rb 6as 1trey 3-9fg 1-2ft,0,cle,1,0,2019-01-16,True,19.03,112,129,21.25
2288,3,0,5,2,0,0,tor,"Smart, Marcus",5,PG/SG,4,4600,5pt 4rb 3as 3st 1trey 2-5fg,3,bos,1,0,2019-01-16,False,31.48,117,108,21.0
2289,1,0,10,6,0,0,uta,"Bradley, Avery",15,SG,3,3500,15pt 3rb 1as 2to 3trey 6-10fg,0,lac,3,2,2019-01-16,False,24.93,109,129,20.75
2290,2,0,8,5,0,0,por,"Payne, Cameron",12,PG/SG,3,3600,12pt 3rb 2as 2trey 5-8fg,0,cle,2,0,2019-01-16,True,20.63,112,129,19.75
2291,5,0,7,3,1,0,det,"Briscoe, Isaiah",6,PG/SG,4,3100,6pt 4rb 5as 1st 2to 3-7fg 0-1ft,1,orl,0,2,2019-01-16,True,20.28,115,120,19.5
2292,2,0,6,3,2,2,mem,"Hill, George",9,PG/SG,3,3500,9pt 3rb 2as 1st 1trey 3-6fg 2-2ft,1,mil,1,0,2019-01-16,True,14.97,111,101,18.25
2293,2,0,4,2,4,2,dal,"White, Derrick",6,PG/SG,3,5800,6pt 3rb 2as 2st 2-4fg 2-4ft,2,sas,0,0,2019-01-16,True,24.38,105,101,16.75
2294,1,1,4,3,0,0,orl,"Brown, Bruce",8,PG/SG,3,3700,8pt 3rb 1as 1bl 2trey 3-4fg,0,det,2,0,2019-01-16,False,21.62,120,115,16.25
2295,4,0,7,2,1,1,lac,"Allen, Grayson",6,PG/SG,0,3300,6pt 4as 1st 2to 1trey 2-7fg 1-1ft,1,uta,1,2,2019-01-16,True,15.05,129,109,13.5
2296,1,0,11,5,2,1,por,"Sexton, Collin",11,PG,1,4400,11pt 1rb 1as 1to 5-11fg 1-2ft,0,cle,0,1,2019-01-16,True,30.25,112,129,13.25
2297,0,0,7,4,5,5,nor,"Livingston, Shaun",13,PG,0,3100,13pt 4-7fg 5-5ft,0,gsw,0,0,2019-01-16,False,16.48,147,140,13.0
2298,3,0,7,1,4,3,orl,"Smith, Ishmael",6,PG,2,3300,6pt 2rb 3as 1to 1trey 1-7fg 3-4ft,0,det,1,1,2019-01-16,False,22.25,120,115,13.0
2299,2,0,8,3,0,0,cle,"Curry, Seth",8,PG/SG,1,3200,8pt 1rb 2as 1to 2trey 3-8fg,0,por,2,1,2019-01-16,False,18.12,129,112,12.75
2300,0,1,7,3,0,0,por,"Burks, Alec",7,PG/SG,3,5200,7pt 3rb 1bl 1to 1trey 3-7fg,0,cle,1,1,2019-01-16,True,23.77,112,129,12.75
2301,3,0,3,0,0,0,uta,"Beverley, Patrick",0,PG/SG,3,4000,0pt 3rb 3as 2st 1to 0-3fg,2,lac,0,1,2019-01-16,False,25.42,109,129,11.75
2302,1,0,4,2,0,0,tor,"Rozier, Terry",5,PG/SG,3,4900,5pt 3rb 1as 1trey 2-4fg,0,bos,1,0,2019-01-16,False,19.02,117,108,10.75
2303,3,0,6,3,0,0,sas,"Brunson, Jalen",6,PG,1,4400,6pt 1rb 3as 2to 3-6fg,0,dal,0,2,2019-01-16,False,20.07,101,105,10.75
