,Name,fpts_fanduel,fpts_draftkings,fpts_yahoo,fpts_fantasydraft
37,Danilo Gallinari,36.02,37.37,36.02,36.15
38,Danny Green,18.89,18.65,18.89,17.68
39,Danuel House Jr.,18.76,18.89,18.76,18.39
40,Dario Saric,24.11,25.11,24.11,24.08
41,Darius Miller,18.74,19.37,18.74,18.28
42,David Nwaba,15.05,15.12,15.05,14.84
43,Davis Bertans,15.96,16.52,15.96,15.57
44,De'Aaron Fox,40.05,40.36,40.05,39.77
45,DeAndre Bembry,13.18,13.48,13.18,13.02
46,DeMar DeRozan,40.01,41.02,40.01,40.21
47,Derrick Jones Jr.,17.92,17.67,17.92,17.16
48,Derrick White,28.66,28.76,28.66,28.24
49,Devin Harris,12.34,12.81,12.34,12.07
50,Devonte' Graham,17.41,17.4,17.41,16.9
51,Dewayne Dedmon,29.61,29.99,29.61,29.38
52,Dion Waiters,23.55,24.53,23.55,23.77
53,Dirk Nowitzki,16.65,17.28,16.65,16.21
54,Dorian Finney-Smith,10.65,10.78,10.65,10.3
55,Dwayne Bacon,22.66,22.62,22.66,22.01
56,Dwight Powell,31.13,30.96,31.13,30.23
57,Dwyane Wade,26.55,26.53,26.55,26.02
58,Elfrid Payton,42.65,42.61,42.65,42.36
59,Eric Bledsoe,35.19,35.44,35.19,34.53
60,Eric Gordon,24.04,25.39,24.04,23.86
61,Ersan Ilyasova,19.72,20.07,19.72,19.5
62,Evan Fournier,24.24,25.52,24.24,24.27
63,Frank Jackson,27.08,27.6,27.08,27.08
64,Frank Kaminsky,17.62,18.19,17.62,17.59
65,Fred VanVleet,26.78,27.46,26.78,26.41
66,Garrett Temple,15.71,16.05,15.71,15.22
67,Gary Harris,23.5,23.74,23.5,22.62
68,George Hill,13.87,13.96,13.87,13.5
69,Giannis Antetokounmpo,58.09,58.53,58.09,58.53
70,Goran Dragic,25.36,26.12,25.36,25.3
71,Gordon Hayward,27.6,28.09,27.6,27.27
72,Gorgui Dieng,17.39,17.08,17.39,16.88
73,Harrison Barnes,26.28,27.24,26.28,26.35
74,Hassan Whiteside,25.41,24.7,25.41,24.62
75,Ian Clark,8.09,8.32,8.09,8.02
76,Iman Shumpert,9.95,9.87,9.95,9.53
77,Ish Smith,19.11,19.47,19.11,18.94
78,Ivica Zubac,21.33,21.04,21.33,20.88
79,JaMychal Green,15.51,15.78,15.51,15.5
